iata_code,icao_code,name,alias,
0B,BMS,Blue Air,,"""0B""=>""Blue Air"","
0C,,Catovair,,"""0C""=>""Catovair"","
0J,,Premium Jet AG,,"""0J""=>""Premium Jet AG"","
0O,,STA Travel,,"""0O""=>""STA Travel"","
0P,,Palau Pacific Airways,,"""0P""=>""Palau Pacific Airways"","
0V,VFC,Vietnam Air Services Company,,"""0V""=>""Vietnam Air Services Company"","
0W,,W Caribbean Costa Rica,,"""0W""=>""W Caribbean Costa Rica"","
1A,AGT,Amadeus,,"""1A""=>""Amadeus"","
1B,,Abacus,Abacus,"""1B""=>""Abacus"","
1C,,EDS Information Business,Gemini,"""1C""=>""EDS Information Business"","
1D,,Raddix Solutions,,"""1D""=>""Raddix Solutions"","
1E,,Travelsky Technology,Civil China,"""1E""=>""Travelsky Technology"","
1F,TTF,Infini Travel Information,,"""1F""=>""Infini Travel Information"","
1G,,Travelport Galileo,Galileo,"""1G""=>""Travelport Galileo"","
1H,,Sirena Travel,,"""1H""=>""Sirena Travel"","
1I,,Netjets Aviation,,"""1I""=>""Netjets Aviation"","
1J,,Axess International,,"""1J""=>""Axess International"","
1K,,Sutra,Southern,"""1K""=>""Sutra"","
1L,,Navitaire Open Skies,,"""1L""=>""Navitaire Open Skies"","
1M,,Sirena Jsc,Sertel,"""1M""=>""Sirena Jsc"","
1N,,Navitaire New Skies,,"""1N""=>""Navitaire New Skies"","
1O,,Phoenix Systems Dertours,,"""1O""=>""Phoenix Systems Dertours"","
1P,WSP,Travelport Worldspan,Worldspan,"""1P""=>""Travelport Worldspan"","
1Q,,Joint Stock Company Ital,,"""1Q""=>""Joint Stock Company Ital"","
1R,,Bird Information Systems,,"""1R""=>""Bird Information Systems"","
1S,,Sabre,,"""1S""=>""Sabre"","
1T,,East Line,,"""1T""=>""East Line"","
1U,,ITA Software,Google ITA,"""1U""=>""ITA Software"","
1V,,Galileo International,Covia,"""1V""=>""Galileo International"","
1W,,Sabre,,"""1W""=>""Sabre"","
1X,,Branson Air Express,,"""1X""=>""Branson Air Express"","
1Y,,Electronic Data Systems (EDS),,"""1Y""=>""Electronic Data Systems (EDS)"","
1Z,APD,Fantasia Info Network,Asia Pacific,"""1Z""=>""Fantasia Info Network"","
2A,DBB,Deutsche Bahn,,"""2A""=>""Deutsche Bahn"","
2B,AWT,Albawings,,"""2B""=>""Albawings"","
2C,,SNCF,,"""2C""=>""SNCF"","
2D,EAL,Eastern Airlines,,"""2D""=>""Eastern Airlines"","
2E,EIX,Smokey Bay Air,Ei Air Export,"""2E""=>""Smokey Bay Air"","
2F,FAV,Fair Aviation,,"""2F""=>""Fair Aviation"","
2G,,Angara Airlines,,"""2G""=>""Angara Airlines"","
2H,,Thalys,,"""2H""=>""Thalys"","
2I,SRU,Star Perú,,"""2I""=>""Star Perú"","
2J,VBW,Air Burkina,,"""2J""=>""Air Burkina"","
2K,GLG,Aerolineas Galapagos,Aerogal,"""2K""=>""Aerolineas Galapagos"","
2L,OAW,Helvetic Airways,2L Helvetic,"""2L""=>""Helvetic Airways"","
2M,MYD,Maya Island Air,,"""2M""=>""Maya Island Air"","
2N,NTJ,Nextjet,,"""2N""=>""Nextjet"","
2O,RNE,Redemption,,"""2O""=>""Redemption"","
2P,GAP,PAL Express,,"""2P""=>""PAL Express"","
2Q,SNC,Air Cargo Carriers,,"""2Q""=>""Air Cargo Carriers"","
2R,VRR,VIA Rail Canada,,"""2R""=>""VIA Rail Canada"","
2S,,Air Carnival,,"""2S""=>""Air Carnival"","
2T,TBS,Timbis Air,,"""2T""=>""Timbis Air"","
2U,ERO,Ero Sun d'Or,,"""2U""=>""Ero Sun d'Or"","
2V,,Amtrak,,"""2V""=>""Amtrak"","
2Z,PTB,Passaredo Transportes,,"""2Z""=>""Passaredo Transportes"","
3A,,Chu Kong Passenger Transport,Mafira Air,"""3A""=>""Chu Kong Passenger Transport"","
3B,JBR,Job Air,,"""3B""=>""Job Air"","
3C,,Calima Aviacion,Corporate Exp,"""3C""=>""Calima Aviacion"","
3D,,Dokasch,,"""3D""=>""Dokasch"","
3E,OMQ,Multi Aero,Air Bretagne,"""3E""=>""Multi Aero"","
3F,,Pacific Airways,,"""3F""=>""Pacific Airways"","
3G,CXM,AsiaCargo Express,,"""3G""=>""AsiaCargo Express"","
3H,AIE,Air Inuit,,"""3H""=>""Air Inuit"","
3I,LFM,Pison Airways Ltd,Virgin Austra,"""3I""=>""Pison Airways Ltd"","
3J,JBW,Jubba Airways Kenya,,"""3J""=>""Jubba Airways Kenya"","
